feature,importance
PSH Flag Count,0.03838875740176624
Packet Length Variance,0.033179612678816355
ACK Flag Count,0.031068118285755907
Min Packet Length,0.024636397749646658
Bwd Packets/s,0.023334561874732644
Destination Port,0.01814988094261931
Bwd Packet Length Std,0.015196123475310344
Down/Up Ratio,0.012225589478112654
Flow Packets/s,0.010772989263284351
Average Packet Size,0.009981040161114943
Init_Win_bytes_forward,0.009558623295364178
Bwd Packet Length Min,0.008782588020986049
Packet Length Std,0.008403319824342474
Bwd IAT Mean,0.0074447888911827
Fwd Packet Length Std,0.007438127204443865
Idle Max,0.0050916776437561605
FIN Flag Count,0.004646070044349334
Fwd IAT Max,0.0041830021854598306
URG Flag Count,0.004028662207457325
Bwd IAT Total,0.0036944582049358013
Packet Length Mean,0.0036839869981529793
Fwd Packets/s,0.003577691238133095
Init_Win_bytes_backward,0.00333990278496696
Bwd Packet Length Max,0.002956359489055741
Fwd Packet Length Max,0.002940576848995827
Flow IAT Std,0.0025889244501335453
Bwd IAT Max,0.0025115903418155504
Flow Bytes/s,0.002378203360441052
Bwd IAT Std,0.002185197163274161
Flow IAT Mean,0.0019624923210833185
Bwd IAT Min,0.001958789534019724
Bwd Packet Length Mean,0.0017635057980855261
Avg Bwd Segment Size,0.0016743225640596226
Idle Mean,0.0016402848933590483
Flow Duration,0.0016021176005652673
Active Mean,0.0015168307835956962
Fwd IAT Total,0.0014421840447377988
Fwd IAT Mean,0.0013736012688502501
Fwd Packet Length Mean,0.0013532798003898212
Fwd IAT Min,0.0013178501438545931
Fwd IAT Std,0.0012619523216832222
Fwd Packet Length Min,0.001220916236872187
Flow IAT Max,0.0011913337168199057
Flow IAT Min,0.001189186103620515
Fwd PSH Flags,0.0011040138457934436
SYN Flag Count,0.0011036656444055172
Active Std,0.0010175114663778717
Avg Fwd Segment Size,0.000912400344579942
Active Min,0.0008966840250475993
Idle Std,0.0008194069019121843
act_data_pkt_fwd,0.0007872437357362472
Active Max,0.0006283295587933044
Total Fwd Packets,0.0006175446960258772
Subflow Fwd Packets,0.0005699439029586731
Total Length of Bwd Packets,0.00046173268448865967
Max Packet Length,0.00045774748824849686
Subflow Bwd Bytes,0.00041706828065634065
Total Backward Packets,0.00041045352412956025
Fwd Header Length.1,0.00040100766277816004
min_seg_size_forward,0.00034629534100298447
Subflow Fwd Bytes,0.0003409634109306356
Idle Min,0.00032831136143287237
Subflow Bwd Packets,0.00029897669935341053
Total Length of Fwd Packets,0.0002805063175401983
Bwd Header Length,0.00027923021010862196
Fwd Header Length,0.00017109119890670483
RST Flag Count,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
ECE Flag Count,0.0
