feature,importance_mlp,importance_cnn,rank_mlp,rank_cnn,rank_diff,importance_diff
Protocol,0.1026697871183561,0.0063169133720964,1.0,33.5,32.5,0.0963528737462597
Init Bwd Win Bytes,0.1014473929045607,0.0930090575485406,2.0,1.0,1.0,0.008438335356020107
Fwd Seg Size Min,0.078061144458163,0.0063169133720964,3.0,33.5,30.5,0.0717442310860666
Subflow Fwd Bytes,0.0666197629237126,0.0063169133720964,4.0,33.5,29.5,0.0603028495516162
Bwd Packet Length Std,0.0497876344609248,0.0063169133720964,5.0,33.5,28.5,0.0434707210888284
Packet Length Max,0.0460144736431149,0.0063169133720964,6.0,33.5,27.5,0.0396975602710185
Init Fwd Win Bytes,0.0450449676001447,0.0063169133720964,7.0,33.5,26.5,0.0387280542280483
Idle Max,0.0276932685610736,0.0063169133720964,8.0,33.5,25.5,0.0213763551889772
Subflow Fwd Packets,0.0223902569005454,0.0063169133720964,9.0,33.5,24.5,0.016073343528449
Subflow Bwd Bytes,0.0199050907776392,0.0063169133720964,10.0,33.5,23.5,0.0135881774055428
FIN Flag Count,0.0191018183353453,0.0063169133720964,11.0,33.5,22.5,0.0127849049632489
Fwd Packet Length Std,0.0178269323204314,0.0063169133720964,12.0,33.5,21.5,0.011510018948335001
Packet Length Min,0.0167269784487173,0.0063169133720964,13.0,33.5,20.5,0.0104100650766209
Idle Std,0.0149922488948022,0.0063169133720964,14.0,33.5,19.5,0.008675335522705802
Avg Bwd Segment Size,0.0125130950317616,0.0063169133720964,15.0,33.5,18.5,0.0061961816596652
Bwd Packet Length Max,0.0116299538512792,0.0063169133720964,16.0,33.5,17.5,0.0053130404791828
Bwd Packet Length Mean,0.0113370051476713,0.0063169133720964,17.0,33.5,16.5,0.005020091775574899
Idle Min,0.0105649015339644,0.0063169133720964,18.0,33.5,15.5,0.004247988161868
Packet Length Std,0.0097588496167232,0.0063169133720964,19.0,33.5,14.5,0.0034419362446268
Fwd Packet Length Max,0.0093435455186052,0.0063169133720964,20.0,33.5,13.5,0.0030266321465088003
Fwd Packet Length Mean,0.005947009912704,0.0063169133720964,21.0,33.5,12.5,0.0003699034593924004
Packet Length Variance,0.0055652787543319,0.0063169133720964,22.0,33.5,11.5,0.0007516346177645003
Avg Fwd Segment Size,0.0046530854515886,0.0063169133720964,23.0,33.5,10.5,0.0016638279205077999
Fwd Packets Length Total,0.0044737357392896,0.0063169133720964,24.0,33.5,9.5,0.0018431776328067997
Packet Length Mean,0.0043155834476801,0.0063169133720964,25.0,33.5,8.5,0.0020013299244163
Bwd Packets/s,0.0037018853638009,0.0024505374008101,26.0,68.0,42.0,0.0012513479629907998
Fwd Header Length,0.0031924111924495,0.0063169133720964,27.0,33.5,6.5,0.0031245021796469
Fwd Packet Length Min,0.002955221202922,0.0063169133720964,28.0,33.5,5.5,0.0033616921691744
Down/Up Ratio,0.0025924372908516,0.0063169133720964,29.0,33.5,4.5,0.0037244760812448
Fwd IAT Max,0.0023337773851461,0.0063169133720964,30.0,33.5,3.5,0.0039831359869503
Avg Packet Size,0.0021335602352333,0.0063169133720964,31.0,33.5,2.5,0.0041833531368631
Fwd IAT Total,0.0021174056653506,0.0063169133720964,32.0,33.5,1.5,0.004199507706745801
Bwd IAT Std,0.0018010188973273,0.0063169133720964,33.0,33.5,0.5,0.0045158944747691
Fwd Packets/s,0.0016495008522315,0.0025438538377785,34.0,67.0,33.0,0.0008943529855469999
Bwd IAT Max,0.0016220065606448,0.0063169133720964,35.0,33.5,1.5,0.0046949068114516
Idle Mean,0.0013692057256855,0.0063169133720964,36.0,33.5,2.5,0.0049477076464109
